,train,val,test
D1103-2020-11-16_15.55.08,True,False,False
D1104-2020-11-16_15.47.32,True,False,False
D1105-2020-11-16_15.39.45,True,False,False
D1966-2021-02-17_15.29.58,True,False,False
D1967-2021-02-17_15.37.53,True,False,False
D1968-2021-02-17_15.45.46,True,False,False
D1969-2021-02-18_10.19.55,True,False,False
D1970-2021-02-18_10.28.24,True,False,False
D1971-2021-02-18_10.36.35,True,False,False
D1972-2021-02-18_10.44.37,True,False,False
D1021-2020-11-17_16.44.48,True,False,False
D1022-2020-11-17_16.34.38,True,False,False
D1023-2020-11-17_16.22.41,True,False,False
D1024-2020-11-17_16.13.46,True,False,False
D1025-2020-11-17_16.04.37,True,False,False
D1027-2020-11-17_15.47.54,True,False,False
D1028-2020-11-17_15.38.28,True,False,False
D1029-2020-11-17_15.30.08,True,False,False
D1030-2020-11-17_15.22.11,True,False,False
D1031-2020-11-17_15.13.41,True,False,False
D1032-2020-11-17_15.04.59,True,False,False
D1033-2020-11-17_14.57.15,True,False,False
D1034-2020-11-17_14.48.29,True,False,False
D1035-2020-11-17_14.40.02,True,False,False
D1036-2020-11-17_14.29.59,True,False,False
D1037-2020-11-17_14.22.18,True,False,False
D1038-2020-11-17_14.13.00,True,False,False
D1039-2020-11-17_14.03.12,True,False,False
D1040-2020-11-17_13.53.54,True,False,False
D1041-2020-11-17_13.42.54,True,False,False
D1973-2021-02-18_10.52.37,True,False,False
D1974-2021-02-18_11.00.51,True,False,False
D1976-2021-02-18_11.18.41,True,False,False
D1977-2021-02-18_11.28.07,True,False,False
D1978-2021-02-18_11.36.50,True,False,False
D1979-2021-02-18_11.44.42,True,False,False
D1980-2021-02-18_11.53.24,True,False,False
D1981-2021-02-18_12.01.31,True,False,False
D1982-2021-02-18_12.09.34,True,False,False
D1983-2021-02-18_12.19.11,True,False,False
D1984-2021-02-18_12.27.46,True,False,False
D1985-2021-02-18_12.37.56,True,False,False
D1986-2021-02-18_12.45.16,True,False,False
D1987-2021-02-18_12.53.21,True,False,False
D1988-2021-02-18_13.00.59,True,False,False
D1989-2021-02-18_13.08.13,True,False,False
D1990-2021-02-18_13.16.06,True,False,False
D1991-2021-02-18_13.24.41,True,False,False
D1992-2021-02-18_13.32.50,True,False,False
D2036-2021-02-18_21.29.05,True,False,False
D2037-2021-02-18_21.35.02,True,False,False
D2038-2021-02-18_21.44.20,True,False,False
D1128-2020-11-20_11.58.14,True,False,False
D1129-2020-11-20_11.48.24,True,False,False
D1130-2020-11-20_11.40.17,True,False,False
D1190-2021-02-22_23.08.12,True,False,False
D1191-2021-02-22_23.18.37,True,False,False
D1192-2nd,True,False,False
D1371-2021-03-10_17.30.28,True,False,False
D1372-2021-03-10_17.38.28,True,False,False
D1373-2021-03-10_17.49.36,True,False,False
D1374-2021-03-10_17.58.18,True,False,False
D1376-2021-03-10_18.16.58,True,False,False
D1377-2021-03-10_18.25.56,True,False,False
D1378-2021-03-10_18.33.41,True,False,False
D1379-2021-03-10_18.41.27,True,False,False
D1396-2021-03-10_20.57.56,True,False,False
D1397-2021-03-10_21.05.11,True,False,False
D1398-2021-03-10_21.16.21,True,False,False
D1399-2021-03-10_21.24.58,True,False,False
D1400-2021-03-10_21.36.27,True,False,False
D1401-2021-03-10_21.45.11,True,False,False
D1402-2021-03-10_21.54.00,True,False,False
D1403-2021-03-10_22.02.31,True,False,False
D1404-2021-03-10_22.10.25,True,False,False
D1405-2021-03-10_22.17.43,True,False,False
D1406-2021-03-10_22.25.26,True,False,False
D1689-2021-03-17_22.36.12,True,False,False
D1690-2021-03-17_22.44.49,True,False,False
D1691-2021-03-17_22.52.58,True,False,False
D1692-2021-03-17_23.01.32,True,False,False
D1693-2021-03-17_23.09.54,True,False,False
D1694-2021-03-17_23.17.40,True,False,False
D1828-2021-03-24_16.18.47,True,False,False
D1829-2021-03-24_16.27.05,True,False,False
D1830-2021-03-24_16.35.10,True,False,False
D1831-2021-03-24_16.42.30,True,False,False
D1832-2021-03-24_16.50.10,True,False,False
D1833-2021-03-24_16.58.06,True,False,False
D1834-2021-03-24_17.06.52,True,False,False
D1835-2021-03-24_17.14.35,True,False,False
D1836-2021-03-24_17.25.01,True,False,False
D1837-2021-03-24_17.33.20,True,False,False
D1850-2021-03-24_19.21.09,True,False,False
D1851-2021-03-24_19.28.39,True,False,False
D1852-2021-03-24_19.37.14,True,False,False
D1853-2021-03-24_19.47.38,True,False,False
D1854-2021-03-24_19.55.17,True,False,False
D1855-2021-03-24_20.03.17,True,False,False
D1856-2021-03-24_20.11.46,True,False,False
D1957-2021-02-17_14.11.43,True,False,False
D1958-2021-02-17_14.20.10,True,False,False
D1959-2021-02-17_14.29.06,True,False,False
D1960-2021-02-17_14.37.31,True,False,False
D1057-2020-11-17_11.23.59,True,False,False
D1058-2020-11-17_11.16.45,True,False,False
D1059-2020-11-17_11.09.04,True,False,False
D1060-2020-11-17_10.57.41,True,False,False
D1061-2020-11-17_10.48.43,True,False,False
D1193-2021-02-22_23.36.43,True,False,False
D1194-2021-02-22_23.44.34,True,False,False
D1195-2nd,True,False,False
D1196-2021-02-22_23.55.44,True,False,False
D1197-2021-02-23_00.04.42,True,False,False
D1198-2021-02-23_00.13.48,True,False,False
D1199-2021-02-23_00.24.33,True,False,False
D1205-2021-02-23_01.07.55,True,False,False
D1206-2021-02-23_01.16.31,True,False,False
D1207-2021-02-23_01.27.26,True,False,False
D1208-2021-02-23_01.35.23,True,False,False
D1209-2021-02-23_01.43.19,True,False,False
D1210-2021-02-23_01.52.12,True,False,False
D1211-2021-02-23_02.00.14,True,False,False
D1232-2021-03-01_19.13.24,True,False,False
D1233-2021-03-01_19.23.12,True,False,False
D1234-2021-03-01_19.36.14,True,False,False
D1235-2021-03-01_16.02.18,True,False,False
D1242-2021-03-01_20.29.24,True,False,False
D1243-2021-03-01_20.38.31,True,False,False
D1244-2021-03-01_20.47.31,True,False,False
D1245-2021-03-01_20.56.07,True,False,False
D1246-2021-03-01_21.05.09,True,False,False
D1247-2021-03-01_21.12.27,True,False,False
D1249-2021-03-01_21.31.38,True,False,False
D1250-2021-03-01_21.39.39,True,False,False
D1251-2021-03-01_21.47.31,True,False,False
D1252-2021-03-01_21.56.34,True,False,False
D1253-2021-03-01_22.05.24,True,False,False
D1254-2021-03-01_22.11.09,True,False,False
D1256-2021-03-01_22.26.40,True,False,False
D1258-2021-03-01_22.44.05,True,False,False
D1259-2021-03-01_22.51.48,True,False,False
D1260-2021-03-01_22.59.36,True,False,False
D1261-2021-03-01_23.09.50,True,False,False
D1262-2021-03-01_23.18.54,True,False,False
D1263-2021-03-01_23.28.23,True,False,False
D1271-2021-03-02_00.37.18,True,False,False
D1272-2021-03-02_00.45.36,True,False,False
D1274-2021-03-02_01.02.21,True,False,False
D1275-2021-03-02_01.07.18,True,False,False
D1276-2021-03-02_01.14.56,True,False,False
