,train,val,test
0,D1103-2020-11-16_15.55.08,D1371-2021-03-10_17.30.28,D1396-2021-03-10_20.57.56
1,D1104-2020-11-16_15.47.32,D1372-2021-03-10_17.38.28,D1397-2021-03-10_21.05.11
2,D1105-2020-11-16_15.39.45,D1373-2021-03-10_17.49.36,D1398-2021-03-10_21.16.21
3,D1966-2021-02-17_15.29.58,D1374-2021-03-10_17.58.18,D1399-2021-03-10_21.24.58
4,D1967-2021-02-17_15.37.53,D1376-2021-03-10_18.16.58,D1400-2021-03-10_21.36.27
5,D1968-2021-02-17_15.45.46,D1377-2021-03-10_18.25.56,D1401-2021-03-10_21.45.11
6,D1969-2021-02-18_10.19.55,D1378-2021-03-10_18.33.41,D1176-2021-02-22_21.09.08
7,D1970-2021-02-18_10.28.24,D1379-2021-03-10_18.41.27,D1177-2021-02-22_21.18.36
8,D1971-2021-02-18_10.36.35,D1850-2021-03-24_19.21.09,D1178-2021-02-22_21.27.26
9,D1972-2021-02-18_10.44.37,D1851-2021-03-24_19.28.39,D1179-2021-02-22_21.35.05
10,D1021-2020-11-17_16.44.48,D1852-2021-03-24_19.37.14,D1137-2020-11-20_10.37.49
11,D1022-2020-11-17_16.34.38,D1853-2021-03-24_19.47.38,D1138-2020-11-20_10.29.48
12,D1023-2020-11-17_16.22.41,D1854-2021-03-24_19.55.17,D1139-2020-11-20_10.17.03
13,D1024-2020-11-17_16.13.46,D1855-2021-03-24_20.03.17,D1140-2020-11-20_10.04.08
14,D1025-2020-11-17_16.04.37,D1856-2021-03-24_20.11.46,D1197-2021-02-23_00.04.42
15,D1027-2020-11-17_15.47.54,D1106-2020-11-16_15.31.14,D1198-2021-02-23_00.13.48
16,D1028-2020-11-17_15.38.28,D1107-2020-11-16_15.21.39,D1199-2021-02-23_00.24.33
17,D1029-2020-11-17_15.30.08,D1108-2020-11-16_15.13.41,D1205-2021-02-23_01.07.55
18,D1030-2020-11-17_15.22.11,D1109-2020-11-16_15.03.14,D1206-2021-02-23_01.16.31
19,D1031-2020-11-17_15.13.41,D1110-2020-11-16_14.54.45,D1207-2021-02-23_01.27.26
20,D1032-2020-11-17_15.04.59,D1111-2020-11-16_14.45.18,D1208-2021-02-23_01.35.23
21,D1033-2020-11-17_14.57.15,D1794-2021-03-24_00.09.25,D1209-2021-02-23_01.43.19
22,D1034-2020-11-17_14.48.29,D1795-2021-03-24_00.16.44,D1210-2021-02-23_01.52.12
23,D1035-2020-11-17_14.40.02,D1796-2021-03-24_00.24.17,D1211-2021-02-23_02.00.14
24,D1036-2020-11-17_14.29.59,D1797-2021-03-24_00.32.55,D1232-2021-03-01_19.13.24
25,D1037-2020-11-17_14.22.18,D1798-2021-03-24_00.39.57,D1233-2021-03-01_19.23.12
26,D1038-2020-11-17_14.13.00,D1799-2021-03-24_00.48.30,D1234-2021-03-01_19.36.14
27,D1039-2020-11-17_14.03.12,D1800-2021-03-24_00.56.52,D1235-2021-03-01_16.02.18
28,D1040-2020-11-17_13.53.54,D1801-2021-03-24_01.03.51,D1957-2021-02-17_14.11.43
29,D1041-2020-11-17_13.42.54,D1802-2021-03-24_01.12.48,D1958-2021-02-17_14.20.10
30,D1973-2021-02-18_10.52.37,D1803-2021-03-24_01.21.21,D1959-2021-02-17_14.29.06
31,D1974-2021-02-18_11.00.51,D1804-2021-03-24_01.29.37,D1960-2021-02-17_14.37.31
32,D1976-2021-02-18_11.18.41,D1805-2021-03-24_01.35.23,
33,D1977-2021-02-18_11.28.07,D1806-2021-03-24_01.44.11,
34,D1978-2021-02-18_11.36.50,D1807-2021-03-24_01.52.19,
35,D1979-2021-02-18_11.44.42,D1808-2021-03-24_02.00.56,
36,D1980-2021-02-18_11.53.24,D1809-2021-03-24_02.07.40,
37,D1981-2021-02-18_12.01.31,D1810-2021-03-24_02.18.16,
38,D1982-2021-02-18_12.09.34,D1811-2021-03-24_02.26.14,
39,D1983-2021-02-18_12.19.11,D1812-2021-03-24_13.49.52,
40,D1984-2021-02-18_12.27.46,D1813-2021-03-24_13.59.54,
41,D1985-2021-02-18_12.37.56,D1814-2021-03-24_14.09.46,
42,D1986-2021-02-18_12.45.16,D1815-2021-03-24_14.22.57,
43,D1987-2021-02-18_12.53.21,D1816-2021-03-24_14.32.36,
44,D1988-2021-02-18_13.00.59,D1817-2021-03-24_14.44.24,
45,D1989-2021-02-18_13.08.13,D1818-2021-03-24_14.53.34,
46,D1990-2021-02-18_13.16.06,D1819-2021-03-24_15.04.18,
47,D1991-2021-02-18_13.24.41,D1701-2021-03-18_00.16.20,
48,D1992-2021-02-18_13.32.50,D1702-2021-03-18_00.23.34,
49,D2036-2021-02-18_21.29.05,D1703-2021-03-18_00.31.19,
50,D2037-2021-02-18_21.35.02,D1704-2021-03-18_00.39.29,
51,D2038-2021-02-18_21.44.20,D1705-2021-03-18_00.47.09,
52,D2042-2021-02-22_12.45.10,D1706-2021-03-18_00.57.24,
53,D2044-2021-02-22_13.02.02,D1707-2021-03-18_01.04.42,
54,D2045-2021-02-22_13.10.00,D1708-2021-03-18_01.15.15,
55,D2046-2021-02-22_13.18.39,D1710-2021-03-18_01.32.36,
56,D1167-2021-02-22_19.58.39,D1720-2021-03-23_18.23.13,
57,D1168-2021-02-22_20.06.31,D1721-2021-03-23_18.30.15,
