,train,val,test
0,D1021-2020-11-17_16.44.48,D1033-2020-11-17_14.57.15,D1109-2020-11-16_15.03.14
1,D1023-2020-11-17_16.22.41,D1475-2021-03-12_11.27.43,D1373-2021-03-10_17.49.36
2,D1024-2020-11-17_16.13.46,D1815-2021-03-24_14.22.57,D1835-2021-03-24_17.14.35
3,D1025-2020-11-17_16.04.37,D1476-2021-03-12_11.36.23,D1034-2020-11-17_14.48.29
4,D1026-2020-11-17_15.56.05,D1376-2021-03-10_18.16.58,D1177-2021-02-22_21.18.36
5,D1027-2020-11-17_15.47.54,D1982-2021-02-18_12.09.34,D1469-2021-03-12_10.41.22
6,D1029-2020-11-17_15.30.08,D1798-2021-03-24_00.39.57,D1411-2021-03-10_23.01.42
7,D1030-2020-11-17_15.22.11,D1245-2021-03-01_20.56.07,D2044-2021-02-22_13.02.02
8,D1031-2020-11-17_15.13.41,D1551-2021-03-15_17.38.58,D1471-2021-03-12_10.56.53
9,D1032-2020-11-17_15.04.59,D1805-2021-03-24_01.35.23,D2059-2021-02-22_15.07.22
10,D1035-2020-11-17_14.40.02,D1140-2020-11-20_10.04.08,D1548-2021-03-15_17.11.12
11,D1037-2020-11-17_14.22.18,D1481-2021-03-12_12.15.35,D1324-2021-03-03_14.48.18
12,D1038-2020-11-17_14.13.00,D1279-2021-03-02_01.44.28,D1370-2021-03-10_17.22.21
13,D1039-2020-11-17_14.03.12,D1259-2021-03-01_22.51.48,D1968-2021-02-17_15.45.46
14,D1040-2020-11-17_13.53.54,D1970-2021-02-18_10.28.24,D1408-2021-03-10_22.41.17
15,D1041-2020-11-17_13.42.54,D1958-2021-02-17_14.20.10,D1706-2021-03-18_00.57.24
16,D1051-2020-11-17_12.15.32,D1729-2021-03-23_19.36.04,D2065-2021-02-22_15.49.31
17,D1052-2020-11-17_12.07.07,D1608-2021-03-16_02.11.03,D1464-2021-03-12_10.01.08
18,D1053-2020-11-17_11.58.45,D1434-2021-03-11_14.36.55,D1272-2021-03-02_00.45.36
19,D1054-2020-11-17_11.50.46,D1829-2021-03-24_16.27.05,D1807-2021-03-24_01.52.19
20,D1055-2020-11-17_11.41.54,D1022-2020-11-17_16.34.38,D1542-2021-03-15_16.14.41
21,D1057-2020-11-17_11.23.59,D1689-2021-03-17_22.36.12,D1554-2021-03-15_18.07.01
22,D1058-2020-11-17_11.16.45,D1725-2021-03-23_18.59.30,D1439-2021-03-11_15.25.27
23,D1060-2020-11-17_10.57.41,D1479-2021-03-12_12.00.34,D1796-2021-03-24_00.24.17
24,D1061-2020-11-17_10.48.43,D1358-2021-03-05_14.14.42,D1703-2021-03-18_00.31.19
25,D1072-2020-11-16_20.43.17,D1129-2020-11-20_11.48.24,D1728-2021-03-23_19.26.54
26,D1076-2020-11-16_20.08.56,D1288-2021-03-02_03.00.32,D1335-2021-03-05_10.58.35
27,D1080-2020-11-16_19.40.41,D1406-2021-03-10_22.25.26,D1028-2020-11-17_15.38.28
28,D1084-2020-11-16_19.07.28,D1701-2021-03-18_00.16.20,D1607-2021-03-16_02.03.17
29,D1103-2020-11-16_15.55.08,D1244-2021-03-01_20.47.31,D1278-2021-03-02_01.35.59
30,D1104-2020-11-16_15.47.32,D1036-2020-11-17_14.29.59,D1234-2021-03-01_19.36.14
31,D1105-2020-11-16_15.39.45,D1973-2021-02-18_10.52.37,D1284-2021-03-02_02.27.34
32,D1106-2020-11-16_15.31.14,D1348-2021-03-05_12.54.24,D1806-2021-03-24_01.44.11
33,D1107-2020-11-16_15.21.39,D1477-2021-03-12_11.45.47,D1455-2021-03-11_17.33.02
34,D1108-2020-11-16_15.13.41,D1721-2021-03-23_18.30.15,D1397-2021-03-10_21.05.11
35,D1110-2020-11-16_14.54.45,D1310-2021-03-02_06.08.58,D1199-2021-02-23_00.24.33
36,D1111-2020-11-16_14.45.18,D1296-2021-03-02_04.06.46,D1414-2021-03-11_11.46.05
37,D1128-2020-11-20_11.58.14,D1417-2021-03-11_12.13.36,D1309-2021-03-02_06.00.57
38,D1130-2020-11-20_11.40.17,D1317-2021-03-03_13.35.00,D1463-2021-03-12_09.52.46
39,D1137-2020-11-20_10.37.49,D1078-2020-11-16_19.56.41,D1497-2021-03-12_14.24.42
40,D1138-2020-11-20_10.29.48,D1458-2021-03-11_18.06.55,D1421-2021-03-11_12.47.42
41,D1139-2020-11-20_10.17.03,D1290-2021-03-02_03.17.55,D1420-2021-03-11_12.38.58
42,D1167-2021-02-22_19.58.39,D1081-2020-11-16_19.32.32,D1562-2021-03-15_19.33.45
43,D1168-2021-02-22_20.06.31,,
44,D1169-2021-02-22_20.15.22,,
45,D1170-2021-02-22_20.25.00,,
46,D1172-2nd,,
47,D1173-2021-02-22_20.42.55,,
48,D1174-2021-02-22_20.52.06,,
49,D1176-2021-02-22_21.09.08,,
50,D1178-2021-02-22_21.27.26,,
51,D1179-2021-02-22_21.35.05,,
52,D1190-2021-02-22_23.08.12,,
53,D1191-2021-02-22_23.18.37,,
54,D1192-2nd,,
55,D1193-2021-02-22_23.36.43,,
56,D1194-2021-02-22_23.44.34,,
57,D1195-2nd,,
58,D1197-2021-02-23_00.04.42,,
59,D1198-2021-02-23_00.13.48,,
60,D1205-2021-02-23_01.07.55,,
61,D1206-2021-02-23_01.16.31,,
62,D1207-2021-02-23_01.27.26,,
63,D1208-2021-02-23_01.35.23,,
64,D1209-2021-02-23_01.43.19,,
65,D1232-2021-03-01_19.13.24,,
66,D1233-2021-03-01_19.23.12,,
67,D1235-2021-03-01_16.02.18,,
68,D1242-2021-03-01_20.29.24,,
69,D1243-2021-03-01_20.38.31,,
70,D1247-2021-03-01_21.12.27,,
71,D1249-2021-03-01_21.31.38,,
72,D1250-2021-03-01_21.39.39,,
73,D1251-2021-03-01_21.47.31,,
74,D1252-2021-03-01_21.56.34,,
75,D1253-2021-03-01_22.05.24,,
76,D1254-2021-03-01_22.11.09,,
77,D1256-2021-03-01_22.26.40,,
78,D1261-2021-03-01_23.09.50,,
79,D1262-2021-03-01_23.18.54,,
80,D1271-2021-03-02_00.37.18,,
81,D1274-2021-03-02_01.02.21,,
82,D1275-2021-03-02_01.07.18,,
83,D1276-2021-03-02_01.14.56,,
84,D1277-2021-03-02_01.26.36,,
85,D1280-2021-03-02_01.53.27,,
86,D1282-2021-03-02_02.10.33,,
87,D1283-2021-03-02_02.18.10,,
88,D1285-2021-03-02_02.35.26,,
89,D1286-2021-03-02_02.43.35,,
90,D1287-2021-03-02_02.52.23,,
91,D1289-2021-03-02_03.08.50,,
92,D1292-2021-03-02_03.34.10,,
93,D1293-2021-03-02_03.42.52,,
94,D1294-2021-03-02_03.50.19,,
95,D1295-2021-03-02_03.59.10,,
96,D1297-2021-03-02_04.16.13,,
97,D1299-2021-03-02_04.31.27,,
98,D1311-2021-03-02_06.17.03,,
99,D1312-2021-03-03_12.51.32,,
100,D1315-2021-03-03_13.15.21,,
101,D1320-2021-03-03_14.00.26,,
102,D1321-2021-03-03_14.14.55,,
103,D1322-2021-03-03_14.26.00,,
104,D1323-2021-03-03_14.41.28,,
105,D1328-2021-03-03_15.23.27,,
106,D1329-2021-03-03_15.33.09,,
107,D1331-2021-03-03_15.56.12,,
108,D1333-2021-03-05_10.42.37,,
109,D1344-2021-03-05_12.20.00,,
110,D1345-2021-03-05_12.27.31,,
111,D1346-2021-03-05_12.36.12,,
112,D1347-2021-03-05_12.44.11,,
113,D1349-2021-03-05_13.03.36,,
114,D1350-2021-03-05_13.11.53,,
115,D1351-2021-03-05_13.19.25,,
116,D1352-2021-03-05_13.26.25,,
117,D1353-2021-03-05_13.33.40,,
118,D1354-2021-03-05_13.41.36,,
119,D1355-2021-03-05_13.50.30,,
120,D1356-2021-03-05_13.58.36,,
121,D1357-2021-03-05_14.05.51,,
122,D1359-2021-03-05_14.23.40,,
123,D1360-2021-03-05_15.07.16,,
124,D1361-2021-03-05_15.17.10,,
125,D1362-2021-03-10_16.13.21,,
126,D1366-2021-03-10_16.50.06,,
127,D1368-2021-03-10_17.04.57,,
128,D1371-2021-03-10_17.30.28,,
129,D1372-2021-03-10_17.38.28,,
130,D1374-2021-03-10_17.58.18,,
131,D1377-2021-03-10_18.25.56,,
132,D1378-2021-03-10_18.33.41,,
133,D1379-2021-03-10_18.41.27,,
134,D1396-2021-03-10_20.57.56,,
135,D1398-2021-03-10_21.16.21,,
136,D1399-2021-03-10_21.24.58,,
137,D1400-2021-03-10_21.36.27,,
138,D1401-2021-03-10_21.45.11,,
139,D1402-2021-03-10_21.54.00,,
140,D1403-2021-03-10_22.02.31,,
141,D1404-2021-03-10_22.10.25,,
142,D1405-2021-03-10_22.17.43,,
143,D1407-2021-03-10_22.33.10,,
144,D1409-2021-03-10_22.49.03,,
145,D1410-2021-03-10_22.55.41,,
146,D1422-2021-03-11_12.56.47,,
147,D1423-2021-03-11_13.05.25,,
148,D1435-2021-03-11_14.46.13,,
149,D1436-2021-03-11_14.57.10,,
150,D1437-2021-03-11_15.07.20,,
151,D1438-2021-03-11_15.15.54,,
152,D1442-2021-03-11_11.18.24,,
153,D1443-2021-03-11_15.50.23,,
154,D1444-2021-03-11_16.00.40,,
