,train,val,test
D1021-2020-11-17_16.44.48,True,False,False
D1023-2020-11-17_16.22.41,True,False,False
D1025-2020-11-17_16.04.37,True,False,False
D1026-2020-11-17_15.56.05,True,False,False
D1027-2020-11-17_15.47.54,True,False,False
D1029-2020-11-17_15.30.08,True,False,False
D1030-2020-11-17_15.22.11,True,False,False
D1031-2020-11-17_15.13.41,True,False,False
D1033-2020-11-17_14.57.15,True,False,False
D1034-2020-11-17_14.48.29,True,False,False
D1035-2020-11-17_14.40.02,True,False,False
D1036-2020-11-17_14.29.59,True,False,False
D1037-2020-11-17_14.22.18,True,False,False
D1038-2020-11-17_14.13.00,True,False,False
D1040-2020-11-17_13.53.54,True,False,False
D1041-2020-11-17_13.42.54,True,False,False
D1051-2020-11-17_12.15.32,True,False,False
D1052-2020-11-17_12.07.07,True,False,False
D1053-2020-11-17_11.58.45,True,False,False
D1054-2020-11-17_11.50.46,True,False,False
D1055-2020-11-17_11.41.54,True,False,False
D1058-2020-11-17_11.16.45,True,False,False
D1061-2020-11-17_10.48.43,True,False,False
D1072-2020-11-16_20.43.17,True,False,False
D1076-2020-11-16_20.08.56,True,False,False
D1080-2020-11-16_19.40.41,True,False,False
D1084-2020-11-16_19.07.28,True,False,False
D1103-2020-11-16_15.55.08,True,False,False
D1104-2020-11-16_15.47.32,True,False,False
D1105-2020-11-16_15.39.45,True,False,False
D1106-2020-11-16_15.31.14,True,False,False
D1107-2020-11-16_15.21.39,True,False,False
D1108-2020-11-16_15.13.41,True,False,False
D1109-2020-11-16_15.03.14,True,False,False
D1110-2020-11-16_14.54.45,True,False,False
D1111-2020-11-16_14.45.18,True,False,False
D1128-2020-11-20_11.58.14,True,False,False
D1129-2020-11-20_11.48.24,True,False,False
D1137-2020-11-20_10.37.49,True,False,False
D1138-2020-11-20_10.29.48,True,False,False
D1139-2020-11-20_10.17.03,True,False,False
D1168-2021-02-22_20.06.31,True,False,False
D1170-2021-02-22_20.25.00,True,False,False
D1172-2nd,True,False,False
D1173-2021-02-22_20.42.55,True,False,False
D1174-2021-02-22_20.52.06,True,False,False
D1176-2021-02-22_21.09.08,True,False,False
D1177-2021-02-22_21.18.36,True,False,False
D1178-2021-02-22_21.27.26,True,False,False
D1190-2021-02-22_23.08.12,True,False,False
D1191-2021-02-22_23.18.37,True,False,False
